mes;petroleo_m3;gas_miles_m3;agua_m3
1;3731899,375360511;4293935,516028806;28586496,256511725
2;3358865,033831356;4053848,38246382;25814472,0375104
3;3735029,556530249;4147758,286766307;28578342,73845015
4;3581795,795716644;4101256,399646242;27669802,58275856
5;3723860,09874162;4577914,134574014;28679616,113859806
6;3726948,6445289324;4779102,167931949;27698297,918624707
7;3996769,7933028694;4981926,5334997;28138866,952587593
8;4068971,2361485055;4900175,3035000125;28009713,136375166
9;4016056,1303564063;4158524,144881008;26871633,57093554
10;4235731,864828413;3842146,9166299896;27305264,719521724
11;4095457,029869037;3665074,630712523;25552030,674275056
